hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,1903403271,86088565.0,5.0,3.51
asels,34695500657,4503418415.0,13.0,18.82
reedr,1306980482,-3985966.0,-0.0,-0.03
miatk,2430325593,112020175.0,5.0,1.6
sdttr,639490013,9916326.0,2.0,3.0
ingrm,141866711,305328.0,0.0,0.85
atatp,213666711,12454240.0,6.0,4.66
alctl,304413406,-5702987.0,-2.0,-1.92
karel,630307954,36169553.0,6.0,0.52
aztek,352789760,-15146972.0,-4.0,-1.72
httbt,278896690,-16845296.0,-6.0,-2.5
logo,912513366,-66372388.0,-7.000000000000001,-10.04
ardyz,482535123,8461906.0,2.0,0.45
indes,239591840,-11388071.0,-5.0,-0.33
mobtl,396583223,-42974570.0,-11.0,-0.81
penta,208137809,12752642.0,6.0,0.82
netas,315420806,14388812.0,5.0,2.45
arena,590479712,-25609387.0,-4.0,-2.02
escom,412895146,17465833.0,4.0,0.12
papil,5120972430,-111318358.0,-2.0,-0.89
forte,203387477,9834175.0,5.0,3.2
link,415642696,3735553.0,1.0,4.78
vbtyz,133596225,7537603.0,6.0,1.03
fonet,718375445,102750563.0,14.000000000000002,2.23
mtrks,194242376,3669935.0,2.0,0.4
edata,385291000,-9350934.0,-2.0,-0.11
kfein,295177620,-19610878.0,-7.000000000000001,-7.5
pkart,140839742,11722952.0,8.0,5.15
obase,119157921,9420487.0,8.0,2.49
kront,134042997,921727.0,1.0,0.12
smart,104403590,1788356.0,2.0,0.45
dgate,410767873,-21166705.0,-5.0,-3.65
despc,306543005,-11134185.0,-4.0,-1.78
manas,363113597,5104429.0,1.0,0.09
odine,1469923886,-2758384.0,-0.0,-0.15
patek,1953386441,-20878138.0,-1.0,-0.79
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,702994131,26379006.0,4.0,2.29
ekgyo,10090116008,1671635199.0,17.0,2.03
zrgyo,471723315,56776387.0,12.0,2.99
srvgy,542058806,-349206.0,-0.0,-0.0
rygyo,616366514,27494026.0,4.0,0.62
isgyo,319211603,522591.0,0.0,0.02
basgz,435498147,-40578595.0,-9.0,-3.08
aksgy,203734094,4366320.0,2.0,0.13
ozkgy,293016943,17894275.0,6.0,0.63
dggyo,54400576,-853083.0,-2.0,-0.53
psgyo,664281363,-16437914.0,-2.0,-0.04
yggyo,115934600,10213707.0,9.0,6.59
akmgy,62734899,8298192.0,13.0,26.52
asgyo,180827595,5048707.0,3.0,0.28
hlgyo,432830515,-1997033.0,-0.0,-0.01
adgyo,175431941,6198563.0,4.0,1.03
akfgy,513285647,64645359.0,13.0,0.26
tsgyo,186160145,8804367.0,5.0,0.31
surgy,853200309,7149235.0,1.0,0.43
klgyo,432713785,37584927.0,9.0,0.39
algyo,128154098,-10675092.0,-8.0,-1.46
kzbgy,2795934188,-95746499.0,-3.0,-0.39
sngyo,503956030,-62196477.0,-12.0,-0.42
vkgyo,441743732,-27447106.0,-6.0,-0.12
pekgy,1310068233,177372143.0,14.000000000000002,0.19
fzlgy,1047419622,-231424356.0,-22.0,-7.75
begyo,2274337698,-295268096.0,-13.0,-2.55
segyo,792860049,27075018.0,3.0,0.14
pehol,5387079433,-1583905.0,-0.0,-0.0
nugyo,163586982,22638099.0,14.000000000000002,0.96
agyo,44000339,-2300963.0,-5.0,-0.32
dzgyo,511789360,-2747238.0,-1.0,-0.03
msgyo,128845508,-7324016.0,-6.0,-0.23
mrgyo,330145778,21235620.0,6.0,0.09
krgyo,938825729,-80383383.0,-9.0,-1.28
ozgyo,145965504,-3023160.0,-2.0,-0.11
kgyo,127360618,15204607.0,12.0,0.38
ygyo,754618574,921694.0,0.0,0.01
avgyo,47523470,-1701339.0,-4.0,-0.32
tdgyo,109596820,-16275358.0,-15.0,-2.14
atagy,59472597,6570645.0,11.0,1.19
idgyo,76824693,7754246.0,10.0,0.31
mhrgy,94864148,-3234997.0,-3.0,-0.16
avpgy,588186802,114398463.0,19.0,10.08
vrgyo,446363913,36951524.0,8.0,0.2
kzgyo,399703455,20220910.0,5.0,1.07
eygyo,115133079,-1286659.0,-1.0,-0.03
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,13720088418,654083789.0,5.0,4.82
isctr,19414052364,1282320815.0,7.000000000000001,0.68
halkb,4331731752,116453355.0,3.0,0.54
vakbn,2826891577,124977235.0,4.0,0.97
akbnk,23400863790,275803534.0,1.0,0.58
skbnk,956991213,60215434.0,6.0,0.32
albrk,922708694,-125336154.0,-14.000000000000002,-0.85
ykbnk,28352494916,-2875535087.0,-10.0,-2.39
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,2415714491,-49788293.0,-2.0,-1.81
arclk,1459921685,44818037.0,3.0,3.47
asels,34695500657,4503418415.0,13.0,18.82
astor,5208201596,162559892.0,3.0,2.97
bimas,15021156402,631504473.0,4.0,20.12
ekgyo,10090116008,1671635199.0,17.0,2.03
enkai,4912521188,601954560.0,12.0,7.94
eregl,20420261775,1709372784.0,8.0,1.97
froto,5490409046,-70174231.0,-1.0,-1.14
gubrf,4967301425,359728479.0,7.000000000000001,19.97
hekts,1180096887,99127943.0,8.0,0.26
kchol,25706021151,1664130223.0,6.0,8.96
kozal,5268563766,430847671.0,8.0,2.08
kozaa,2167396794,83076719.0,4.0,3.34
krdmd,5099247228,445027038.0,9.0,2.05
odas,1054597705,63071987.0,6.0,0.29
petkm,4242132599,457670686.0,11.0,1.76
pgsus,8564110930,718612941.0,8.0,19.63
sahol,10633841238,196322713.0,2.0,1.36
