hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,1016829790,-52885061.0,-5.0,-4.18
asels,18293856541,947974539.0,5.0,6.85
reedr,808133553,538494.0,0.0,0.01
miatk,3949151510,-317070609.0,-8.0,-2.91
sdttr,311789299,-15440221.0,-5.0,-9.91
ingrm,70921388,-6166158.0,-9.0,-34.22
atatp,225730698,9181203.0,4.0,3.29
alctl,143660282,9634978.0,7.000000000000001,6.37
karel,134731379,5190596.0,4.0,0.33
aztek,290129450,47864327.0,16.0,6.77
httbt,183730282,914674.0,0.0,0.22
logo,479163231,26988812.0,6.0,7.03
ardyz,288393213,1572853.0,1.0,0.14
indes,104577981,5198795.0,5.0,0.33
mobtl,1088904461,3098754.0,0.0,0.02
penta,108857654,7358981.0,7.000000000000001,0.89
netas,166861622,8859011.0,5.0,2.76
arena,264373667,-14253987.0,-5.0,-2.28
escom,92927320,5420375.0,6.0,0.15
papil,2458637732,-7267165.0,-0.0,-0.1
forte,106909440,-1461136.0,-1.0,-0.89
link,245136190,-20529534.0,-8.0,-44.42
vbtyz,68717202,-1082316.0,-2.0,-0.29
fonet,582693362,97435835.0,17.0,2.53
mtrks,124795179,-5434842.0,-4.0,-0.92
edata,198172595,758512.0,0.0,0.02
kfein,294390752,6692998.0,2.0,2.74
pkart,64439612,-2998472.0,-5.0,-2.99
obase,97299560,664997.0,1.0,0.21
kront,171349895,11919259.0,7.000000000000001,1.12
smart,93746578,9562005.0,10.0,2.75
dgate,215883096,2207460.0,1.0,0.56
despc,82283569,2364334.0,3.0,1.26
manas,946413827,-55431731.0,-6.0,-0.44
odine,314029732,-18784170.0,-6.0,-5.52
patek,1780842802,28194705.0,2.0,1.13
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,626166061,-27816978.0,-4.0,-2.68
ekgyo,9684784404,161204719.0,2.0,0.2
zrgyo,512866159,-48820765.0,-10.0,-2.35
srvgy,281531311,-16778118.0,-6.0,-0.18
rygyo,289405132,49364228.0,17.0,2.28
isgyo,262200869,-10034462.0,-4.0,-0.59
basgz,54695240,2261832.0,4.0,1.13
aksgy,140069532,-13518968.0,-10.0,-0.61
ozkgy,359767887,5211649.0,1.0,0.15
dggyo,39420543,-1796036.0,-5.0,-1.5
psgyo,724647564,67129319.0,9.0,0.17
yggyo,131860864,20960415.0,16.0,11.63
akmgy,66257696,-4225308.0,-6.0,-13.15
asgyo,108779206,-5347313.0,-5.0,-0.51
hlgyo,214335197,4010054.0,2.0,0.05
adgyo,188503565,14641892.0,8.0,2.45
akfgy,246182499,-176323.0,-0.0,-0.0
tsgyo,178886326,1776682.0,1.0,0.07
surgy,295179449,20667772.0,7.000000000000001,2.92
klgyo,211599717,1393884.0,1.0,0.03
algyo,92361375,4596547.0,5.0,0.88
kzbgy,859581476,13219609.0,2.0,0.14
sngyo,282403374,18142653.0,6.0,0.21
vkgyo,278027340,-11679853.0,-4.0,-0.08
pekgy,574171305,43410744.0,8.0,0.11
fzlgy,451485818,-58611746.0,-13.0,-4.3
begyo,1990409487,-91194980.0,-5.0,-0.79
segyo,738098318,21119886.0,3.0,0.12
pehol,9758162875,-165401855.0,-2.0,-0.26
nugyo,57737281,-3362501.0,-6.0,-0.39
agyo,30992880,-1383747.0,-4.0,-0.27
dzgyo,149140648,7341988.0,5.0,0.3
msgyo,106871695,10131056.0,9.0,0.4
mrgyo,207071537,23668378.0,11.0,0.16
krgyo,697887848,69181517.0,10.0,1.31
ozgyo,127475921,-3084476.0,-2.0,-0.13
kgyo,129049918,1142888.0,1.0,0.03
ygyo,670194881,3666746.0,1.0,0.03
avgyo,33182670,272663.0,1.0,0.07
tdgyo,101393736,-14299615.0,-14.000000000000002,-2.06
atagy,29007398,-2602411.0,-9.0,-0.95
idgyo,41109981,524801.0,1.0,0.03
mhrgy,118922618,7068530.0,6.0,0.3
avpgy,370424044,-65116351.0,-18.0,-9.38
vrgyo,112444931,9068715.0,8.0,0.18
kzgyo,74150901,-4185577.0,-6.0,-1.05
eygyo,136373053,9563453.0,7.000000000000001,0.17
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,11525842339,1265318925.0,11.0,11.31
isctr,19373950984,1330610112.0,7.000000000000001,0.73
halkb,4939666715,166531205.0,3.0,0.68
vakbn,2678166507,72227626.0,3.0,0.56
akbnk,24670135709,2807304778.0,11.0,5.81
skbnk,775957558,21883287.0,3.0,0.14
albrk,459480942,-23888997.0,-5.0,-0.33
ykbnk,23375124546,-1984024686.0,-8.0,-1.99
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,3030465802,-56580709.0,-2.0,-1.84
arclk,1248156905,4662189.0,0.0,0.46
asels,18293856541,947974539.0,5.0,6.85
astor,4999869633,139935173.0,3.0,2.78
bimas,9295337943,783133087.0,8.0,38.32
ekgyo,9684784404,161204719.0,2.0,0.2
enkai,3701385891,-41156532.0,-1.0,-0.69
eregl,13495769553,2140801125.0,16.0,3.44
froto,3645741054,301254460.0,8.0,76.2
gubrf,3169041927,125445095.0,4.0,11.68
hekts,957137368,103295131.0,11.0,0.35
kchol,21329226059,959113604.0,4.0,6.62
kozal,6174898926,-95646162.0,-2.0,-0.43
kozaa,2558235962,36249757.0,1.0,1.31
krdmd,5129841951,183778994.0,4.0,0.87
odas,981404013,66376554.0,7.000000000000001,0.34
petkm,1787193146,33185876.0,2.0,0.31
pgsus,9599034283,-233470672.0,-2.0,-6.0
sahol,8791859167,397847759.0,5.0,3.49
sasa,10581815981,-67320087.0,-1.0,-0.03
sise,3427739464,190516298.0,6.0,1.95
tavhl,3322323575,142230739.0,4.0,9.88
tcell,7006731321,41586329.0,1.0,0.55
thyao,23272790450,233905208.0,1.0,3.21
toaso,20298507935,1711385541.0,8.0,16.62
tuprs,6285809709,191350927.0,3.0,3.79
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,197860174,-11351651.0,-6.0,-0.92
a1cap,106738404,-2011811.0,-2.0,-0.09
