hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,3666376362,-31955676.0,-1.0,-0.78
asels,35506097884,2747912572.0,8.0,8.91
reedr,4598421918,339275584.0,7.000000000000001,0.99
miatk,7011439099,508048448.0,7.000000000000001,3.08
sdttr,1339346964,4298450.0,0.0,0.69
ingrm,497137918,-16955074.0,-3.0,-15.13
atatp,444863348,-10492563.0,-2.0,-2.34
alctl,731384937,-34730876.0,-5.0,-5.75
karel,270912739,5892959.0,2.0,0.19
aztek,289718464,-6958282.0,-2.0,-1.04
httbt,422942549,3527261.0,1.0,0.34
logo,466280301,5565281.0,1.0,1.54
ardyz,959271121,40106155.0,4.0,1.28
indes,332568832,-5238279.0,-2.0,-0.13
mobtl,220348421,-66764.0,-0.0,-0.0
penta,403977856,7649887.0,2.0,0.29
netas,266611915,-7919153.0,-3.0,-1.82
arena,599809619,-53500596.0,-9.0,-4.47
escom,225951483,-6496548.0,-3.0,-0.08
papil,3583895792,251112454.0,7.000000000000001,1.54
forte,324416738,37721270.0,12.0,7.72
link,302441068,-24770847.0,-8.0,-40.12
vbtyz,186242550,9845988.0,5.0,1.17
fonet,440246827,8658307.0,2.0,0.3
mtrks,266224177,24975011.0,9.0,2.14
edata,234058318,-2626599.0,-1.0,-0.05
kfein,843111014,52785380.0,6.0,7.27
pkart,149545790,-621518.0,-0.0,-0.27
obase,84393772,17226164.0,20.0,6.09
kront,102746080,4057174.0,4.0,0.74
smart,237755377,4692555.0,2.0,0.58
dgate,169691800,3435553.0,2.0,1.12
despc,168654672,9600539.0,6.0,2.82
manas,182999967,-4393238.0,-2.0,-0.27
odine,2612480354,-73509160.0,-3.0,-3.77
patek,6041835755,1238755.0,0.0,0.02
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,749777001,65767140.0,9.0,5.11
ekgyo,14949523094,891419349.0,6.0,0.93
zrgyo,641624133,-54531383.0,-8.0,-1.78
srvgy,628116345,15042879.0,2.0,0.08
rygyo,552489545,36093084.0,7.000000000000001,0.97
isgyo,454665236,89357253.0,20.0,3.71
basgz,124062330,17221211.0,14.000000000000002,4.1
aksgy,273501272,-13244203.0,-5.0,-0.35
ozkgy,344088218,6347866.0,2.0,0.23
dggyo,55007591,1744146.0,3.0,1.18
psgyo,2780560102,245804783.0,9.0,0.15
yggyo,182384278,-3010234.0,-2.0,-1.17
akmgy,77962609,1541599.0,2.0,4.59
asgyo,176960872,2794574.0,2.0,0.17
hlgyo,719075051,-338674.0,-0.0,-0.0
adgyo,171825876,15340757.0,9.0,2.7
akfgy,436793277,21805970.0,5.0,0.1
tsgyo,195668786,15009271.0,8.0,0.51
surgy,383909585,-16858672.0,-4.0,-1.96
