tekno,56959136115.6,-232120118.6,-0.4,19,17
gyo,43621325152.2,1528772958.8,3.5,27,19
banka,142394212824.1,7672745714.1,5.4,4,1
bist30,279627908818.8,11390285990.0,4.1,14,7
harz,95979912760.3,1376764723.2,1.4,54,40
bist500,554173540743.2,15884654416.3,2.9,217,179
enerji,23690601323.6,776569982.8,3.3,24,8
bist100,394615729389.4,14503315681.2,3.7,55,32
fonlar,12237500245.0,551094193.0,4.5,5,6
fin_sigorta,8362362727.1,226169680.9,2.7,7,4
cim_ins,29335761540.4,5393393.0,0.0,12,11
bist_100_disi,224860694001.4,498069334.3,0.2,174,156
