hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,9177599588,-138139764.0,-2.0,-1.4
asels,41193914047,1440440183.0,3.0,4.12
reedr,2485615062,-41400995.0,-2.0,-0.21
miatk,5406640964,-36818762.0,-1.0,-0.27
sdttr,2116037464,115541037.0,5.0,11.64
ingrm,196353968,-9930486.0,-5.0,-21.38
atatp,410590504,-50285815.0,-12.0,-11.36
alctl,471755438,-48737871.0,-10.0,-11.36
karel,336511364,-3081258.0,-1.0,-0.08
aztek,403630373,22636792.0,6.0,2.29
httbt,590070829,32932486.0,6.0,2.39
logo,538163640,-45892706.0,-9.0,-10.66
ardyz,687179761,-47417099.0,-7.000000000000001,-2.0
indes,355367450,-42204087.0,-12.0,-0.89
mobtl,228298178,3341361.0,1.0,0.06
penta,234507088,-7488197.0,-3.0,-0.46
netas,202127989,-18080803.0,-9.0,-5.16
arena,720877531,-35858843.0,-5.0,-2.09
escom,246369500,-11307370.0,-5.0,-0.13
papil,2055971313,166208847.0,8.0,2.24
forte,407859685,72476803.0,18.0,12.24
link,279470871,-19123257.0,-7.000000000000001,-30.74
vbtyz,159898706,-5803515.0,-4.0,-0.74
fonet,431369719,6725702.0,2.0,0.23
mtrks,302392605,-9793081.0,-3.0,-0.77
edata,138608087,-7844286.0,-6.0,-0.23
kfein,581516192,17095266.0,3.0,3.41
pkart,118963696,-10288318.0,-9.0,-5.55
obase,97745603,5823430.0,6.0,1.71
kront,103201654,5279311.0,5.0,0.9
smart,183754686,-5923430.0,-3.0,-0.89
dgate,104793039,2846571.0,3.0,1.42
despc,147447820,-2537957.0,-2.0,-0.81
manas,274294859,-11650286.0,-4.0,-0.47
odine,2028188036,-38577867.0,-2.0,-2.35
patek,5568491734,-23709350.0,-0.0,-0.37
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,841930057,5461205.0,1.0,0.38
ekgyo,20742461977,-305597780.0,-1.0,-0.21
zrgyo,808442795,-49106688.0,-6.0,-1.25
srvgy,476843684,-11366274.0,-2.0,-0.08
rygyo,671398963,-35603968.0,-5.0,-0.72
isgyo,576875490,33824752.0,6.0,1.08
basgz,152291847,10025684.0,7.000000000000001,1.88
aksgy,263680290,-13906877.0,-5.0,-0.37
ozkgy,473211428,8609064.0,2.0,0.21
dggyo,53367297,-2049214.0,-4.0,-1.47
psgyo,2557873711,22284948.0,1.0,0.02
yggyo,172814025,7268108.0,4.0,3.04
akmgy,79937436,-148209.0,-0.0,-0.43
asgyo,153324825,-7756027.0,-5.0,-0.55
hlgyo,802649584,-13014210.0,-2.0,-0.04
adgyo,239259515,643096.0,0.0,0.08
akfgy,415835062,-4305191.0,-1.0,-0.02
