hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,1103397529,-49838233.0,-5.0,-3.52
asels,17547417924,-381425385.0,-2.0,-2.95
reedr,1084035032,-16448573.0,-2.0,-0.18
miatk,4214345635,130162261.0,3.0,1.12
sdttr,379272775,2842663.0,1.0,1.48
ingrm,128783850,6290597.0,5.0,19.33
atatp,174868117,-1353291.0,-1.0,-0.62
alctl,545497035,27511967.0,5.0,5.15
karel,203725992,18511928.0,9.0,0.77
aztek,610566987,-38226411.0,-6.0,-2.65
httbt,428241105,15170537.0,4.0,1.46
logo,685652595,73664516.0,11.0,14.7
ardyz,433529483,23209412.0,5.0,1.36
indes,152833304,13582777.0,9.0,0.6
mobtl,367482462,28126788.0,8.0,0.56
penta,121502631,14970226.0,12.0,1.65
netas,145407476,25666987.0,18.0,9.21
arena,468620226,23702897.0,5.0,2.24
escom,90638233,4919396.0,5.0,0.14
papil,5876898781,261018030.0,4.0,1.81
forte,152664389,12129618.0,8.0,5.24
link,298515606,36859342.0,12.0,65.94
vbtyz,86221892,4678565.0,5.0,1.0
fonet,580192488,32909375.0,6.0,0.88
mtrks,142765441,6815259.0,5.0,0.99
edata,120812221,7508348.0,6.0,0.26
kfein,270164413,-1983020.0,-1.0,-0.87
pkart,83406008,-2067583.0,-2.0,-1.53
obase,145512049,9922077.0,7.000000000000001,2.16
kront,116627494,2238638.0,2.0,0.32
smart,79271258,5529084.0,7.000000000000001,1.85
dgate,606017227,36913441.0,6.0,4.08
despc,269769773,10031246.0,4.0,1.78
manas,534835116,-24627659.0,-5.0,-0.31
odine,2031075450,275797917.0,14.000000000000002,12.4
patek,1171854422,43853945.0,4.0,2.65
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,610131534,-15125925.0,-2.0,-1.56
ekgyo,8861440871,841758354.0,9.0,1.13
zrgyo,556350618,-11479352.0,-2.0,-0.51
srvgy,469881210,-19235756.0,-4.0,-0.13
rygyo,678059947,11503870.0,2.0,0.23
isgyo,255093255,-20578689.0,-8.0,-1.19
basgz,232167162,-2019959.0,-1.0,-0.27
aksgy,134116185,-1562566.0,-1.0,-0.07
ozkgy,261494738,-19884330.0,-8.0,-0.8
dggyo,43357334,1842604.0,4.0,1.4
psgyo,790119153,114668358.0,15.0,0.27
yggyo,101343892,15938476.0,16.0,11.57
