hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,625653855,-15725317.0,-3.0,-1.85
asels,17778484297,38710092.0,0.0,0.29
reedr,1014710325,19724208.0,2.0,0.24
miatk,1009227603,-28069256.0,-3.0,-0.92
sdttr,228270036,7473528.0,3.0,6.01
ingrm,68946607,-10558504.0,-15.0,-57.9
atatp,391239410,21431017.0,5.0,4.72
alctl,372045995,-382451.0,-0.0,-0.11
karel,219634448,-11970111.0,-5.0,-0.48
aztek,479904689,-42931058.0,-9.0,-3.83
httbt,144414242,2631798.0,2.0,0.78
logo,580701862,-12273618.0,-2.0,-3.12
ardyz,429438043,14533892.0,3.0,0.99
indes,291156983,-26003310.0,-9.0,-0.66
mobtl,595985633,-43059445.0,-7.000000000000001,-0.57
penta,296546839,1308447.0,0.0,0.07
netas,144097966,-25444546.0,-18.0,-9.29
arena,593398497,-9645388.0,-2.0,-0.64
escom,170028076,-8562648.0,-5.0,-0.14
papil,2805049417,-9868868.0,-0.0,-0.11
forte,281031418,20853806.0,7.000000000000001,5.0
link,280935478,-12583855.0,-4.0,-25.11
vbtyz,214747520,976371.0,0.0,0.09
fonet,236547931,7673339.0,3.0,0.47
mtrks,97853477,-6019686.0,-6.0,-1.2
edata,194581476,15941759.0,8.0,0.37
kfein,190622627,18421665.0,10.0,9.93
pkart,196895648,-1225499.0,-1.0,-0.43
obase,322601997,-13559800.0,-4.0,-1.45
kront,80599081,-10436681.0,-13.0,-2.39
smart,194708446,3460927.0,2.0,0.48
dgate,247312811,-9442784.0,-4.0,-2.75
despc,123111682,3550626.0,3.0,1.55
manas,223791829,-23785749.0,-11.0,-0.67
odine,374815033,-804822.0,-0.0,-0.17
patek,3684315068,280974135.0,8.0,6.04
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,535589175,18609443.0,3.0,2.2
ekgyo,12507643214,584564548.0,5.0,0.67
zrgyo,447915452,-36831062.0,-8.0,-2.2
srvgy,300810123,-199212.0,-0.0,-0.0
rygyo,416412990,-5102764.0,-1.0,-0.17
isgyo,296072492,-2846996.0,-1.0,-0.15
basgz,251369241,-25944308.0,-10.0,-3.68
aksgy,153920587,-23654531.0,-15.0,-0.97
ozkgy,199980787,-15313085.0,-8.0,-0.82
