tekno,35183406347.0,135312215.4,0.4,15,21
gyo,34484916241.4,674143270.8,2.0,21,26
banka,99918181408.7,-3024657764.5,-3.0,5,2
bist30,196743423582.0,-2045931573.5,-1.0,10,16
harz,72668701307.7,-915341523.4,-1.3,47,48
bist500,370928059150.3,-3093055651.2,-0.8,165,236
enerji,19747198024.1,91916972.6,0.5,19,13
bist100,266894899402.6,-3447415410.2,-1.3,35,57
fonlar,5363794192.4,470808600.1,8.8,3,8
fin_sigorta,5287946643.2,-144930998.3,-2.7,3,8
cim_ins,15584390424.3,-480206267.7,-3.1,6,17
bist_100_disi,167903292528.3,-34015231.6,-0.0,144,186
