hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,1490141737,-4106250.0,-0.0,-0.21
asels,13761435083,1022596272.0,7.000000000000001,9.76
reedr,1264751212,-128527001.0,-10.0,-1.21
miatk,1199885804,69654026.0,6.0,1.82
sdttr,211582385,14301202.0,7.000000000000001,11.73
ingrm,93245680,1764331.0,2.0,6.96
atatp,372574444,4895147.0,1.0,1.07
alctl,133272987,8253070.0,6.0,6.53
karel,144973421,19041894.0,13.0,1.07
aztek,121358037,-3139664.0,-3.0,-0.99
httbt,64813458,-501626.0,-1.0,-0.3
logo,638701245,-19070832.0,-3.0,-4.25
ardyz,167427598,7498241.0,4.0,1.21
indes,189056632,-19741366.0,-10.0,-0.66
mobtl,328980255,-6391254.0,-2.0,-0.13
penta,99059077,-2941557.0,-3.0,-0.38
netas,78605122,-886036.0,-1.0,-0.55
arena,242374469,2305605.0,1.0,0.31
escom,148718634,-13311702.0,-9.0,-0.22
papil,2826006429,209058377.0,7.000000000000001,2.78
forte,145165471,20311521.0,14.000000000000002,9.48
link,157270961,1758806.0,1.0,5.83
vbtyz,132352047,12761003.0,10.0,1.87
fonet,152309508,20866968.0,14.000000000000002,1.86
mtrks,71500009,-5104133.0,-7.000000000000001,-1.34
edata,97727050,3841070.0,4.0,0.16
kfein,102703981,-1349158.0,-1.0,-1.19
pkart,108016845,-5686292.0,-5.0,-3.51
obase,54512523,-676991.0,-1.0,-0.37
kront,99737618,-6062101.0,-6.0,-1.0
smart,48565512,1184350.0,2.0,0.56
dgate,125264975,-7341457.0,-6.0,-3.78
despc,90865392,-12208742.0,-13.0,-6.48
manas,111590935,374823.0,0.0,0.02
odine,385248185,15483912.0,4.0,2.96
patek,1782493937,367434478.0,21.0,1.65
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,387304488,56002112.0,14.000000000000002,8.85
ekgyo,10458953589,1605121580.0,15.0,2.29
zrgyo,257861376,-10820137.0,-4.0,-1.01
srvgy,367001067,15766939.0,4.0,0.11
rygyo,320427641,44727873.0,14.000000000000002,1.85
isgyo,413829955,37104511.0,9.0,1.33
basgz,145222521,14663283.0,10.0,3.57
aksgy,106501723,1321215.0,1.0,0.08
ozkgy,237441708,16415822.0,7.000000000000001,0.7
dggyo,25878352,-1606431.0,-6.0,-1.97
psgyo,585977666,53230693.0,9.0,0.16
yggyo,61411499,9291435.0,15.0,12.5
akmgy,23422117,-3693757.0,-16.0,-29.63
asgyo,151119612,14361688.0,10.0,0.98
hlgyo,261492589,-3399291.0,-1.0,-0.03
adgyo,106612313,-4810967.0,-5.0,-1.27
akfgy,346777934,-22396884.0,-6.0,-0.13
tsgyo,68751397,3493191.0,5.0,0.32
surgy,286963146,7944287.0,3.0,1.37
klgyo,441159454,11824575.0,3.0,0.13
algyo,88458796,2657970.0,3.0,0.54
kzbgy,472727078,33927104.0,7.000000000000001,0.73
sngyo,401919254,37434051.0,9.0,0.34
vkgyo,200347071,-3192235.0,-2.0,-0.03
pekgy,1783684906,41286929.0,2.0,0.03
fzlgy,202462445,-54254367.0,-27.0,-9.44
begyo,1569003860,-70618019.0,-5.0,-0.35
segyo,202966717,307981.0,0.0,0.01
pehol,6498105535,585600505.0,9.0,1.43
nugyo,75520696,6203331.0,8.0,0.59
agyo,63164241,-2596132.0,-4.0,-0.26
dzgyo,71393172,6061128.0,8.0,0.48
msgyo,85944108,2115949.0,2.0,0.1
mrgyo,612428205,-4318351.0,-1.0,-0.01
krgyo,1037127709,-79052544.0,-8.0,-0.67
ozgyo,130660903,27003594.0,21.0,1.18
kgyo,136916656,8586486.0,6.0,0.23
ygyo,761558252,1705452.0,0.0,0.01
avgyo,22559822,653985.0,3.0,0.25
tdgyo,60687538,-7279247.0,-12.0,-1.6
atagy,27164416,-5749606.0,-21.0,-2.35
idgyo,44493568,2212259.0,5.0,0.15
mhrgy,85256518,9586187.0,11.0,0.56
avpgy,184371319,33304276.0,18.0,9.71
vrgyo,150277481,21200760.0,14.000000000000002,0.33
kzgyo,95421733,-254418.0,-0.0,-0.05
eygyo,45849708,-484668.0,-1.0,-0.02
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,11926965304,1785830436.0,15.0,16.89
isctr,16184563606,1853189301.0,11.0,1.29
halkb,2670876840,310188198.0,12.0,2.33
vakbn,1741945289,124534081.0,7.000000000000001,1.67
akbnk,18863909820,2996357827.0,16.0,8.66
skbnk,383316113,-62910.0,-0.0,-0.0
albrk,593259084,-28164680.0,-5.0,-0.33
ykbnk,21111290176,-1159168259.0,-5.0,-1.47
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,1073478866,35300321.0,3.0,2.68
arclk,760798695,55679704.0,7.000000000000001,7.87
asels,13761435083,1022596272.0,7.000000000000001,9.76
astor,2492350993,162793034.0,7.000000000000001,6.2
bimas,8776718553,1023345448.0,12.0,58.03
ekgyo,10458953589,1605121580.0,15.0,2.29
enkai,2085244256,210881564.0,10.0,6.25
eregl,10450732144,341411775.0,3.0,0.77
froto,2918159359,306230707.0,10.0,8.82
gubrf,6803862382,-92422877.0,-1.0,-3.23
hekts,675172148,-3622430.0,-1.0,-0.02
kchol,15776370565,1640753871.0,10.0,15.29
kozal,3135198912,291458559.0,9.0,2.21
kozaa,1524348487,144858771.0,10.0,8.16
krdmd,3232543596,420603776.0,13.0,2.95
odas,654747899,41335425.0,6.0,0.31
petkm,1000883946,79619704.0,8.0,1.31
pgsus,6129448009,911965941.0,15.0,37.29
sahol,6439313611,1070007182.0,17.0,13.09
sasa,3162419904,14095637.0,0.0,0.01
sise,2656590039,180998009.0,7.000000000000001,2.28
tavhl,1930856801,211498781.0,11.0,24.67
tcell,5670461326,178056156.0,3.0,2.95
thyao,19715810217,1040652399.0,5.0,14.82
toaso,2474549536,117020650.0,5.0,8.58
tuprs,4521826491,533182555.0,12.0,15.02
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,720667586,-51906008.0,-7.000000000000001,-1.27
a1cap,771540362,66605717.0,9.0,0.58
adgyo,106612313,-4810967.0,-5.0,-1.27
agrot,353477370,8199276.0,2.0,0.17
ahgaz,431223075,43559162.0,10.0,2.61
akfye,182174239,14611233.0,8.0,1.26
alfas,239295026,-2941166.0,-1.0,-0.53
asgyo,151119612,14361688.0,10.0,0.98
atakp,63116015,3016621.0,5.0,1.9
astor,2492350993,162793034.0,7.000000000000001,6.2
aztek,121358037,-3139664.0,-3.0,-0.99
barma,67351086,-4788949.0,-7.000000000000001,-1.21
begyo,1569003860,-70618019.0,-5.0,-0.35
bieny,451904273,26217152.0,6.0,2.45
bigch,287212754,-9414945.0,-3.0,-1.16
binho,2327779119,-30740105.0,-1.0,-2.68
bmstl,1169686635,-158977148.0,-14.000000000000002,-7.89
borls,826501979,-40329225.0,-5.0,-4.51
brkvy,165021557,-17426611.0,-11.0,-6.52
bvsan,119361920,20745634.0,17.0,15.36
bydnr,93747335,14785593.0,16.0,3.24
cates,105634802,-5946763.0,-6.0,-1.59
conse,137225945,19078776.0,14.000000000000002,0.41
cvkmd,925376487,72780713.0,8.0,0.96
cwene,462520224,31087979.0,7.000000000000001,0.97
dapgm,623796254,37562305.0,6.0,0.53
dmrgd,402425643,-6596686.0,-2.0,-0.4
dofer,105149541,520366.0,0.0,0.14
ebebk,113748831,12993301.0,11.0,4.73
ekos,171289177,2020566.0,1.0,0.25
eksun,218325851,-13971535.0,-6.0,-0.35
enery,1367611009,20617539.0,2.0,0.08
ensri,110649853,15275526.0,14.000000000000002,2.66
eupwr,336444306,-9731565.0,-3.0,-0.76
euren,1080665871,89049478.0,8.0,0.47
eygyo,45849708,-484668.0,-1.0,-0.02
forte,145165471,20311521.0,14.000000000000002,9.48
fzlgy,202462445,-54254367.0,-27.0,-9.44
gipta,1153127746,112892479.0,10.0,8.84
goknr,172064782,6775490.0,4.0,0.92
grsel,794787807,-81572981.0,-10.0,-27.14
gznmi,312252188,1488560.0,0.0,0.88
hatsn,69945190,792994.0,1.0,0.43
hktm,99233040,1436195.0,1.0,0.15
httbt,64813458,-501626.0,-1.0,-0.3
imasm,404218818,23723368.0,6.0,0.17
inves,99264408,-2786241.0,-3.0,-6.26
izenr,489571419,7423919.0,2.0,0.1
kayse,292991745,28034713.0,10.0,1.94
kcaer,647380064,8456396.0,1.0,0.18
klrho,1323696125,38614394.0,3.0,1.77
klser,324306695,29455818.0,9.0,2.63
klsyn,69065423,3582526.0,5.0,0.27
kmpur,45725714,723424.0,2.0,0.23
kopol,146313817,19861345.0,14.000000000000002,0.67
krpls,84787367,6477712.0,8.0,0.52
ktlev,4166892530,-268053989.0,-6.0,-0.5
kzgyo,95421733,-254418.0,-0.0,-0.05
lider,586859140,-96777499.0,-16.0,-37.31
macko,173298511,19329035.0,11.0,4.57
makim,239512208,-2621622.0,-1.0,-0.2
marbl,151406308,-7572158.0,-5.0,-0.68
mekag,51737774,2486824.0,5.0,1.87
mhrgy,85256518,9586187.0,11.0,0.56
obase,54512523,-676991.0,-1.0,-0.37
ofsym,130118121,12053126.0,9.0,3.74
oncsm,54432871,3217757.0,6.0,4.92
ozsub,138766531,8292848.0,6.0,1.49
paseu,1448341214,31498541.0,2.0,1.67
pcilt,156655335,6014819.0,4.0,0.49
pltur,297446367,22789039.0,8.0,1.91
pnlsn,427941211,17340357.0,4.0,1.38
prdgs,81246202,-5214716.0,-6.0,-0.36
psgyo,585977666,53230693.0,9.0,0.16
reedr,1264751212,-128527001.0,-10.0,-1.21
rnpol,29639415,455898.0,2.0,0.46
rubns,81454083,-7478288.0,-9.0,-1.77
sdttr,211582385,14301202.0,7.000000000000001,11.73
segyo,202966717,307981.0,0.0,0.01
skymd,364140297,-15226348.0,-4.0,-0.46
smrtg,170840297,711136.0,0.0,0.11
snica,67942131,2576476.0,4.0,0.14
soke,104332232,4019988.0,4.0,0.41
suntk,372678024,3883247.0,1.0,0.35
suwen,364325946,20083054.0,6.0,0.83
tabgd,433531571,37974320.0,9.0,14.96
tarkm,86419516,5041431.0,6.0,18.0
taten,150529105,386952.0,0.0,0.11
tera,2145347763,163409276.0,8.0,14.06
tnztp,104055719,-6100582.0,-6.0,-2.05
vrgyo,150277481,21200760.0,14.000000000000002,0.33
yylgd,189072590,25510515.0,13.0,1.29
patek,1782493937,367434478.0,21.0,1.65
OBAMS,1865201263,-88571658.0,-5.0,-2.38
LMKDC,366031027,-21347751.0,-6.0,-1.55
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
hubvc,18096342,4550089.0,25.0,0.41
tatgd,69422149,-2026730.0,-3.0,-0.34
odas,654747899,41335425.0,6.0,0.31
cwene,462520224,31087979.0,7.000000000000001,0.97
uluun,66895785,-3621228.0,-5.0,-0.33
AYDEM,76217967,-5958026.0,-8.0,-1.26
conse,137225945,19078776.0,14.000000000000002,0.41
ASELS,13761435083,1022596272.0,7.000000000000001,9.76
TUPRS,4521826491,533182555.0,12.0,15.02
KCHOL,15776370565,1640753871.0,10.0,15.29
ARCLK,760798695,55679704.0,7.000000000000001,7.87
EREGL,10450732144,341411775.0,3.0,0.77
KRDMD,3232543596,420603776.0,13.0,2.95
SAHOL,6439313611,1070007182.0,17.0,13.09
