hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,1238909418,-25354416.0,-2.0,-1.55
asels,34431508759,-542373261.0,-2.0,-2.2
reedr,1553385436,103152479.0,7.000000000000001,0.78
miatk,2241281535,-106409309.0,-5.0,-1.65
sdttr,354813641,-13743530.0,-4.0,-7.25
ingrm,112902700,-8781371.0,-8.0,-30.19
atatp,302413718,16072908.0,5.0,4.39
alctl,277363743,-18739150.0,-7.000000000000001,-6.89
karel,426751130,-22010328.0,-5.0,-0.48
aztek,292170350,28517171.0,10.0,4.0
httbt,244861056,24060418.0,10.0,4.19
logo,918040594,51112291.0,6.0,8.02
ardyz,719606164,22674973.0,3.0,0.89
indes,308232255,-1396606.0,-0.0,-0.03
mobtl,288244765,11379881.0,4.0,0.3
penta,687548606,53565259.0,8.0,1.14
netas,164962510,13980001.0,8.0,4.5
arena,1000551253,-110253702.0,-11.0,-4.53
escom,428538552,-278358.0,-0.0,-0.0
papil,3747784678,-30233580.0,-1.0,-0.28
forte,189299610,-14951340.0,-8.0,-5.17
link,422204318,17324010.0,4.0,22.73
vbtyz,251453864,6537002.0,3.0,0.49
fonet,304858364,-24368287.0,-8.0,-1.2
mtrks,177185003,-19424270.0,-11.0,-2.25
edata,135513389,4231999.0,3.0,0.13
kfein,524283396,38575124.0,7.000000000000001,7.64
pkart,228145340,-4223703.0,-2.0,-1.22
obase,131354915,8146497.0,6.0,1.96
kront,150915571,5778347.0,4.0,0.72
smart,231873722,13793671.0,6.0,1.61
dgate,277013499,-1536172.0,-1.0,-0.39
despc,281609135,-3182700.0,-1.0,-0.6
manas,519518183,26830304.0,5.0,0.33
odine,904656244,4486390.0,0.0,0.4
patek,2489380701,264921240.0,11.0,7.97
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,753055985,12363900.0,2.0,1.04
ekgyo,16360787638,1954898386.0,12.0,1.67
zrgyo,872482961,-39371443.0,-5.0,-1.22
srvgy,571606879,-61040619.0,-11.0,-0.32
rygyo,1000022975,44847306.0,4.0,0.64
isgyo,330968784,34954301.0,11.0,1.63
basgz,409618584,-16403421.0,-4.0,-1.37
aksgy,233217907,-9166693.0,-4.0,-0.25
ozkgy,417309922,17789951.0,4.0,0.46
dggyo,52340499,-4607929.0,-9.0,-2.95
psgyo,1048899133,37237723.0,4.0,0.06
yggyo,139363655,4764464.0,3.0,2.56
akmgy,63488570,4993905.0,8.0,15.83
asgyo,164192388,10364862.0,6.0,0.66
hlgyo,1220961034,-7138735.0,-1.0,-0.02
adgyo,171668343,6265965.0,4.0,1.05
akfgy,416110898,53389515.0,13.0,0.28
tsgyo,157694235,11709363.0,7.000000000000001,0.5
surgy,429548289,-29436286.0,-7.000000000000001,-3.51
klgyo,609706064,94677590.0,16.0,0.74
algyo,229806003,12036433.0,5.0,0.95
kzbgy,3150227957,-243772060.0,-8.0,-0.94
sngyo,666249869,12301071.0,2.0,0.07
vkgyo,623131651,6911224.0,1.0,0.02
pekgy,1088406377,1803421.0,0.0,0.0
fzlgy,625873556,-59371878.0,-9.0,-3.36
begyo,1172069200,-243583745.0,-21.0,-3.76
segyo,312286312,9854515.0,3.0,0.13
pehol,4312437437,-76275562.0,-2.0,-0.26
nugyo,354634370,845540.0,0.0,0.02
agyo,42992977,-1138339.0,-3.0,-0.16
dzgyo,212772042,-12506228.0,-6.0,-0.37
msgyo,192259005,-12823109.0,-7.000000000000001,-0.29
mrgyo,1542812825,-20065773.0,-1.0,-0.02
krgyo,534963473,-73147298.0,-14.000000000000002,-1.95
ozgyo,153777717,-15311.0,-0.0,-0.0
kgyo,527698410,22559686.0,4.0,0.16
ygyo,771902271,1857543.0,0.0,0.01
avgyo,36848716,-2543576.0,-7.000000000000001,-0.62
tdgyo,112954462,-8229173.0,-7.000000000000001,-1.0
atagy,74845049,5212443.0,7.000000000000001,0.79
idgyo,60363417,217705.0,0.0,0.01
mhrgy,141118704,22255705.0,16.0,0.77
avpgy,333345883,22343005.0,7.000000000000001,3.67
vrgyo,421208595,23078610.0,5.0,0.14
kzgyo,387805345,18576131.0,5.0,1.11
eygyo,115488787,1299875.0,1.0,0.03
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,15156857172,1916552149.0,13.0,13.85
isctr,28874272847,2995860742.0,10.0,1.12
halkb,7557882416,487753336.0,6.0,1.41
vakbn,3597224642,25662874.0,1.0,0.17
akbnk,36716493644,2498301468.0,7.000000000000001,3.52
skbnk,1267832613,25247845.0,2.0,0.11
albrk,881610140,36895253.0,4.0,0.27
ykbnk,48342039351,-313527953.0,-1.0,-0.16
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,3160283585,36369045.0,1.0,1.02
arclk,1674387536,13261063.0,1.0,0.95
asels,34431508759,-542373261.0,-2.0,-2.2
