hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,2300374846,-166467174.0,-7.000000000000001,-6.11
asels,27852857155,3870640312.0,14.000000000000002,17.26
reedr,1175269133,-3887053.0,-0.0,-0.04
miatk,3258077233,-9761424.0,-0.0,-0.13
sdttr,1048168023,22679651.0,2.0,4.58
ingrm,138617300,-4069815.0,-3.0,-11.92
atatp,258250151,-7487598.0,-3.0,-2.33
alctl,222239542,-10652910.0,-5.0,-4.62
karel,287083156,11650142.0,4.0,0.36
aztek,153817114,-14272206.0,-9.0,-3.69
httbt,299200334,27532887.0,9.0,4.26
logo,385220568,20669145.0,5.0,6.08
ardyz,339999430,-9184249.0,-3.0,-0.69
indes,168526576,-19575654.0,-12.0,-0.79
mobtl,2286725887,67445945.0,3.0,0.17
penta,157786383,-17366423.0,-11.0,-1.48
netas,195496723,4582035.0,2.0,1.2
arena,365228194,-6057841.0,-2.0,-0.69
escom,161145399,12191484.0,8.0,0.2
papil,4119027858,-8622359.0,-0.0,-0.07
forte,201406843,-1493778.0,-1.0,-0.5
link,306622522,-11553310.0,-4.0,-20.56
vbtyz,116483397,1162506.0,1.0,0.19
fonet,882395051,4738860.0,1.0,0.09
mtrks,230113102,-21643772.0,-9.0,-2.11
edata,196801206,4633768.0,2.0,0.1
kfein,626817651,18023681.0,3.0,3.61
pkart,269811545,-668005.0,-0.0,-0.17
obase,112520494,12873086.0,11.0,3.51
kront,276999918,234491.0,0.0,0.01
smart,181282802,-10373715.0,-6.0,-1.62
dgate,102362570,-10066915.0,-10.0,-5.01
despc,84175523,-1269751.0,-2.0,-0.68
manas,1852823093,-108169580.0,-6.0,-0.6
odine,906567301,-20071493.0,-2.0,-2.59
patek,1583404978,30576168.0,2.0,1.34
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,458127871,-39028225.0,-9.0,-5.04
ekgyo,12129033006,-752442503.0,-6.0,-0.74
zrgyo,595859471,22614944.0,4.0,0.86
srvgy,401732660,12079568.0,3.0,0.09
rygyo,494017301,40739624.0,8.0,1.14
isgyo,302116610,26090398.0,9.0,1.37
basgz,92361847,-8547751.0,-9.0,-2.55
aksgy,178832596,-32908493.0,-18.0,-1.21
ozkgy,202883910,-20535584.0,-10.0,-1.08
dggyo,44448250,-6080928.0,-14.000000000000002,-4.63
psgyo,945210572,42931811.0,5.0,0.08
yggyo,347316575,39042842.0,11.0,8.86
akmgy,76358007,-8865948.0,-12.0,-25.7
asgyo,127919906,1055640.0,1.0,0.09
hlgyo,549423012,27110467.0,5.0,0.13
adgyo,245545693,34531495.0,14.000000000000002,4.38
akfgy,212615318,-4506533.0,-2.0,-0.04
tsgyo,482999990,-69822074.0,-14.000000000000002,-1.05
surgy,279900716,-25269690.0,-9.0,-3.58
klgyo,353074239,-58650732.0,-17.0,-0.77
algyo,120674731,5149661.0,4.0,0.77
kzbgy,1889422204,22590329.0,1.0,0.1
sngyo,467168694,-23827064.0,-5.0,-0.17
vkgyo,361786760,-15612687.0,-4.0,-0.08
pekgy,1198805036,59953222.0,5.0,0.07
fzlgy,391807514,-70840306.0,-18.0,-6.05
begyo,2016835347,120956530.0,6.0,1.0
segyo,1501246767,-49167691.0,-3.0,-0.16
pehol,25344676685,488012068.0,2.0,0.41
nugyo,82397439,-422497.0,-1.0,-0.04
agyo,37991289,-5191900.0,-14.000000000000002,-0.84
dzgyo,287553366,-17432069.0,-6.0,-0.39
msgyo,62054665,-5501063.0,-9.0,-0.36
mrgyo,544070357,20559982.0,4.0,0.06
krgyo,794936076,-85038000.0,-11.0,-1.36
ozgyo,104511408,-1158737.0,-1.0,-0.06
kgyo,166249350,10420999.0,6.0,0.2
ygyo,713137123,-449458.0,-0.0,-0.0
avgyo,50200696,-6316973.0,-13.0,-1.08
tdgyo,190403480,-25608036.0,-13.0,-2.02
atagy,34633938,-1619154.0,-5.0,-0.5
idgyo,42887978,2001258.0,5.0,0.12
mhrgy,418876568,-9530074.0,-2.0,-0.12
avpgy,455342043,-36093271.0,-8.0,-4.34
vrgyo,258231640,-707210.0,-0.0,-0.01
kzgyo,102142480,-6140853.0,-6.0,-1.19
eygyo,175781882,7875334.0,4.0,0.11
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,13344661080,630617208.0,5.0,5.01
isctr,20827437768,-832627264.0,-4.0,-0.45
halkb,7429239085,583758309.0,8.0,1.6
vakbn,4346388835,8744949.0,0.0,0.04
akbnk,31299529650,492694903.0,2.0,0.8
skbnk,860651627,-44709745.0,-5.0,-0.27
albrk,891905028,83513024.0,9.0,0.59
ykbnk,22131277318,-3925239886.0,-18.0,-4.13
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,4308734711,-583102560.0,-14.000000000000002,-13.32
arclk,1839161763,-134657362.0,-7.000000000000001,-9.19
asels,27852857155,3870640312.0,14.000000000000002,17.26
astor,5142626745,-371725005.0,-7.000000000000001,-7.32
bimas,12166901775,82955502.0,1.0,3.15
ekgyo,12129033006,-752442503.0,-6.0,-0.74
enkai,3660721145,-277837306.0,-8.0,-4.74
eregl,10204620441,414558151.0,4.0,0.88
froto,6109462298,-595794474.0,-10.0,-91.42
gubrf,5981082272,670864307.0,11.0,32.14
hekts,1817570592,67597950.0,4.0,0.12
kchol,22959090472,-969593045.0,-4.0,-6.07
kozal,11865472303,81756629.0,1.0,0.2
kozaa,3625373247,174755660.0,5.0,4.16
krdmd,5787898637,-230104442.0,-4.0,-1.0
odas,1240347316,60225576.0,5.0,0.24
petkm,3448513506,334479828.0,10.0,1.64
pgsus,12434316975,-1431495947.0,-12.0,-29.47
sahol,9145654122,527220195.0,6.0,4.45
sasa,15289520020,336740861.0,2.0,0.09
sise,4350583720,-144796297.0,-3.0,-1.19
tavhl,2722363401,-187512555.0,-7.000000000000001,-16.74
tcell,9034799683,371513340.0,4.0,3.7
thyao,42419407065,3562992607.0,8.0,26.79
toaso,8185136124,525494992.0,6.0,10.68
tuprs,7400612355,-282652343.0,-4.0,-4.82
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,355991718,-21261696.0,-6.0,-1.0
a1cap,283808686,4627930.0,2.0,0.08
adgyo,245545693,34531495.0,14.000000000000002,4.38
agrot,854900728,-1161506.0,-0.0,-0.01
ahgaz,547948578,-39459600.0,-7.000000000000001,-1.6
akfye,441973855,-86892333.0,-20.0,-3.55
alfas,395024614,-7917183.0,-2.0,-0.99
asgyo,127919906,1055640.0,1.0,0.09
atakp,157355345,10516112.0,7.000000000000001,2.58
astor,5142626745,-371725005.0,-7.000000000000001,-7.32
aztek,153817114,-14272206.0,-9.0,-3.69
barma,132968525,5182416.0,4.0,0.71
begyo,2016835347,120956530.0,6.0,1.0
bieny,1305375915,41441868.0,3.0,1.22
bigch,139043032,-7724685.0,-6.0,-1.49
binho,1295182550,-45302652.0,-3.0,-9.99
bmstl,623449214,5789544.0,1.0,0.41
borls,320896599,8988511.0,3.0,2.48
brkvy,686007404,-879307.0,-0.0,-0.08
bvsan,396977918,-20381794.0,-5.0,-5.55
bydnr,89340402,7393880.0,8.0,1.71
cates,162132726,8156314.0,5.0,1.46
conse,314661549,36380594.0,12.0,0.33
cvkmd,1784653488,10166283.0,1.0,0.06
cwene,399282962,-4333061.0,-1.0,-0.19
dapgm,913660366,41721644.0,5.0,0.36
dmrgd,692257317,-41938440.0,-6.0,-1.13
dofer,247254687,16983117.0,7.000000000000001,1.95
ebebk,214200887,-46634269.0,-22.0,-10.2
ekos,1637572281,-5218120.0,-0.0,-0.08
eksun,154145244,-5712743.0,-4.0,-0.21
enery,2513002017,133031545.0,5.0,0.23
ensri,304163262,-229711.0,-0.0,-0.02
eupwr,673182061,-49840796.0,-7.000000000000001,-2.1
euren,4216433594,58458402.0,1.0,0.08
eygyo,175781882,7875334.0,4.0,0.11
forte,201406843,-1493778.0,-1.0,-0.5
